Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       78   78.0000       4.72434       4.72101       4.64119       0.00000      0.894993E-04   0.00000      -41.2019      0.309796E-01 -0.320194E-01   118.852       0.00000      -334.666       14.7623      0.500000       2.41718       4.82994     -0.852746E-01   0.00000       0.00000       0.00000       0.00000    
       79   79.0000       4.83037       4.82064       4.64119      0.210404      0.743634E-02   0.00000      -3.89592       30.7184      -6.03943       102.208       0.00000      -335.177       14.3983      0.500000       2.41927       4.82894     -0.847465E-01   0.00000       0.00000       0.00000       0.00000    
       80   80.0000       4.95571       4.94675       4.68130      0.322465      0.113942E-01   0.00000      -20.7331       30.6969      -17.6096       113.641       0.00000      -335.782       15.3206      0.718282       2.45988       4.80937     -0.568534E-01   0.00000       0.00000       0.00000       0.00000    
       81   81.0000       5.06591       5.06591       5.06591      0.254481      0.899013E-02   0.00000       7.38877       22.8236      -9.21382       42.1709       0.00000      -336.315       16.0500      0.500000       5.00000       4.00000      0.232794       0.00000       0.00000       0.00000       0.00000    
       82   82.0000       5.12913       5.12913       5.12913       0.00000      0.780524E-04   0.00000      -22.7560      0.371476E-01 -0.855449E-02   100.472       0.00000      -336.621       16.0500      0.500000       5.00000       4.00000      0.246602       0.00000       0.00000       0.00000       0.00000    
       83   83.0000       5.23009       5.22842       5.12913      0.185180      0.653987E-02   0.00000       9.06014       20.7391      -1.73262       72.6338       0.00000      -337.109       15.5218      0.500000       5.00000       4.00000      0.246602       0.00000       0.00000       0.00000       0.00000    
       84   84.0000       5.34553       5.33282       5.12913       0.00000      0.725536E-04   0.00000      -22.8040      0.333135E-01 -0.887519E-02   97.9512       0.00000      -337.669       14.1643      0.500000       5.00000       4.00000      0.246602       0.00000       0.00000       0.00000       0.00000    
       85   85.0000       5.45197       5.42882       5.12913      0.147193      0.519608E-02   0.00000      -26.0938       11.9195      -12.1412       98.0361       0.00000      -338.185       13.7478      0.500000       5.00000       4.00000      0.246602       0.00000       0.00000       0.00000       0.00000    
       86   86.0000       5.57119       5.52071       5.12913      0.798327E-01  0.281755E-02   0.00000      -38.5569       2.99404      -12.3273       97.0290       0.00000      -338.765       12.3846      0.500000       5.00000       4.00000      0.246602       0.00000       0.00000       0.00000       0.00000    
       87   87.0000       5.70784       5.59534       5.12913      0.223212      0.787581E-02  0.313807E-02  -59.8282      -13.4547      -24.9626       15.8400       0.00000      -339.430       9.80952      0.500000       5.00000       4.00000      0.246602       0.00000       0.00000       0.00000       0.00000    
       88   88.0000       5.60327       5.53864       5.09221      0.406347      0.143404E-01  0.320570E-02  -101.907      -29.6337      -45.4050       70.3925       0.00000      -338.921       12.1421      0.519388       5.00000       4.00000      0.238539       0.00000       0.00000       0.00000       0.00000    
       89   89.0000       5.53076       5.49794       5.08204      0.360519      0.127248E-01  0.308876E-02  -139.216      -24.9044      -65.6354       122.157       0.00000      -338.568       14.2738      0.660941       5.00000       4.00000      0.236317       0.00000       0.00000       0.00000       0.00000    
       90   90.0000       5.49781       5.47577       5.09700      0.134517      0.474819E-02   0.00000      -75.3556      -8.50397      -31.2128       117.553       0.00000      -338.408       14.8214      0.718282       5.00000       4.00000      0.239586       0.00000       0.00000       0.00000       0.00000    
       91   91.0000       5.62099       5.52955       5.09700      0.142482      0.502816E-02   0.00000      -23.6139      -3.04188      -17.0625       55.7698       0.00000      -339.007       11.5108      0.616995       5.00000       4.00000      0.239586       0.00000       0.00000       0.00000       0.00000    
       92   92.0000       5.68032       5.57046       5.09700      0.199877      0.705280E-02   0.00000      -73.4052      -10.7346      -31.6405       107.281       0.00000      -339.296       11.0396      0.603322       5.00000       4.00000      0.239586       0.00000       0.00000       0.00000       0.00000    
       93   93.0000       5.70478       5.61357       5.10350      0.222796      0.786117E-02   0.00000      -44.8819      -7.83533      -42.3649       98.3871       0.00000      -339.415       12.1549      0.625075       5.00000       4.00000      0.241004       0.00000       0.00000       0.00000       0.00000    
       94   94.0000       5.76145       5.68184       5.11563      0.460029      0.162300E-01   0.00000       85.8383       41.0846       22.2427       64.5836       0.00000      -339.691       13.0688      0.663697       5.00000       4.00000      0.243655       0.00000       0.00000       0.00000       0.00000    
       95   95.0000       5.87433       5.87433       5.87433      0.177856      0.627345E-02   0.00000       24.0349       16.4291       2.03159       114.318       0.00000      -340.241       16.0500      0.500000       5.00000       4.00000      0.409353       0.00000       0.00000       0.00000       0.00000    
       96   96.0000       6.05113       6.05113       6.05113      0.145576      0.513313E-02   0.00000      -19.9039       5.80623      -23.0664       147.703       0.00000      -341.104       16.0500      0.500000       5.00000       4.00000      0.447967       0.00000       0.00000       0.00000       0.00000    
       97   97.0000       6.21436       6.21436       6.21436       0.00000      0.814801E-04   0.00000       19.4731      0.290735E-01 -0.278727E-01   131.428       0.00000      -341.902       16.0500      0.500000       5.00000       4.00000      0.483615       0.00000       0.00000       0.00000       0.00000    
       98   98.0000       6.59936       6.40715       6.21436      0.159517      0.561877E-02   0.00000       16.9436       16.3917      -21.2665       173.351       0.00000      -343.791      0.240548E-01  0.500000       5.00000       4.00000      0.483615       0.00000       0.00000       0.00000       0.00000    
       99   99.0000       7.06954       6.65043       5.94593       0.00000      0.860601E-04   0.00000       17.4953      0.433452E-01 -0.517221E-01   192.566       0.00000      -346.108       4.13059      0.502263      0.367129       5.97047     -0.729843E-01   0.00000       0.00000       0.00000       0.00000    
      100   100.000       7.90092       6.91976       5.94593       0.00000      0.654380E-04   0.00000       10.6802      0.358805E-01 -0.432156E-01   196.435       0.00000      -350.234      0.124307E-01  0.502263      0.376262       5.96464     -0.543022E-01   0.00000       0.00000       0.00000       0.00000    
      101   101.000       8.43435       7.18529       5.94593       0.00000      0.726809E-04   0.00000       14.6489      0.236221E-01 -0.608192E-01   202.580       0.00000      -352.901      0.100085E-01  0.502263      0.382984       5.96036     -0.411348E-01   0.00000       0.00000       0.00000       0.00000    
      102   102.000       8.99349       7.46377       5.94593      0.941043E-01  0.329953E-02  0.393809E-03  -31.5953       4.78922      -19.9805       204.767       0.00000      -355.712      0.100000E-01  0.502263      0.388034       5.95714     -0.315470E-01   0.00000       0.00000       0.00000       0.00000    
      103   103.000       7.68576       7.68576       7.68576      0.113029      0.397304E-02   0.00000      -8.02896       5.80259      -27.9853       177.295       0.00000      -349.163       16.0500      0.500000       5.00000       4.00000      0.804971       0.00000       0.00000       0.00000       0.00000    
      104   104.000       7.91179       7.90168       7.68576      0.139908      0.491570E-02   0.00000      -27.3955       4.79730      -32.0107       205.071       0.00000      -350.288       14.6142      0.500000       5.00000       4.00000      0.804971       0.00000       0.00000       0.00000       0.00000    
      105   105.000       8.22659       8.12838       7.68576      0.731522E-01  0.256867E-02   0.00000       205.585       1.39332      -15.9998       216.873       0.00000      -351.860       10.2206      0.500000       5.00000       4.00000      0.804971       0.00000       0.00000       0.00000       0.00000    
      106   106.000       9.27023       8.66881       7.68576      0.613244E-01  0.214904E-02   0.00000       67.4935      -2.78166      -16.9788       213.875       0.00000      -357.110       3.86580      0.500000       5.00000       4.00000      0.804971       0.00000       0.00000       0.00000       0.00000    
      107   107.000       10.0604       9.02842       7.68576      0.854558E-01  0.299016E-02   0.00000      -43.3035      -8.62464      -31.1609       159.081       0.00000      -361.123       2.09971      0.500000       5.00000       4.00000      0.804971       0.00000       0.00000       0.00000       0.00000    
